Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
County,Santa Cruz County,2016,Annual,"144,500","134,600","10,000",6.9%,N,Final
County,Shasta County,2016,Annual,"74,700","69,500","5,200",6.9%,N,Final
County,Sierra County,2016,Annual,"1,350","1,250",100,7.6%,N,Final
County,Siskiyou County,2016,Annual,"17,920","16,400","1,520",8.5%,N,Final
County,Solano County,2016,Annual,"207,900","196,500","11,400",5.5%,N,Final
County,Sonoma County,2016,Annual,"260,500","250,200","10,300",4%,N,Final
County,Stanislaus County,2016,Annual,"244,500","223,700","20,800",8.5%,N,Final
County,Sutter County,2016,Annual,"45,300","41,000","4,300",9.6%,N,Final
County,Tehama County,2016,Annual,"25,200","23,410","1,790",7.1%,N,Final
County,Trinity County,2016,Annual,"5,070","4,710",360,7.1%,N,Final
County,Tulare County,2016,Annual,"205,900","183,300","22,600",11%,N,Final
County,Tuolumne County,2016,Annual,"21,860","20,510","1,350",6.2%,N,Final
County,Ventura County,2016,Annual,"427,800","405,600","22,100",5.2%,N,Final
County,Yolo County,2016,Annual,"106,300","100,100","6,100",5.8%,N,Final
County,Yuba County,2016,Annual,"28,300","25,900","2,400",8.5%,N,Final
County,Alameda County,2015,Annual,"823,100","784,300","38,800",4.7%,N,Final
County,Alpine County,2015,Annual,550,510,40,7.3%,N,Final
County,Amador County,2015,Annual,"14,340","13,400",940,6.6%,N,Final
County,Butte County,2015,Annual,"101,300","94,100","7,200",7.1%,N,Final
County,Calaveras County,2015,Annual,"20,580","19,270","1,310",6.4%,N,Final
County,Colusa County,2015,Annual,"11,070","9,370","1,700",15.3%,N,Final
County,Contra Costa County,2015,Annual,"547,400","520,100","27,400",5%,N,Final
County,Del Norte County,2015,Annual,"9,870","9,030",840,8.5%,N,Final
County,El Dorado County,2015,Annual,"88,300","83,300","5,000",5.7%,N,Final
County,Fresno County,2015,Annual,"441,300","396,500","44,800",10.2%,N,Final
County,Glenn County,2015,Annual,"12,990","11,860","1,130",8.7%,N,Final
County,Humboldt County,2015,Annual,"62,400","59,000","3,500",5.6%,N,Final
County,Imperial County,2015,Annual,"78,100","59,400","18,700",24%,N,Final
County,Inyo County,2015,Annual,"9,110","8,580",520,5.8%,N,Final
County,Kern County,2015,Annual,"390,800","351,000","39,800",10.2%,N,Final
County,Kings County,2015,Annual,"57,900","51,800","6,100",10.5%,N,Final
County,Lake County,2015,Annual,"29,050","26,850","2,200",7.6%,N,Final
County,Lassen County,2015,Annual,"10,780","10,010",780,7.2%,N,Final
County,Los Angeles County,2015,Annual,"5,000,600","4,668,200","332,400",6.6%,N,Final
County,Madera County,2015,Annual,"60,000","53,700","6,300",10.5%,N,Final
County,Marin County,2015,Annual,"139,500","134,600","4,900",3.5%,N,Final
County,Mariposa County,2015,Annual,"8,030","7,460",570,7.1%,N,Final
County,Mendocino County,2015,Annual,"39,930","37,610","2,310",5.8%,N,Final
County,Merced County,2015,Annual,"114,300","101,400","12,900",11.3%,N,Final
County,Modoc County,2015,Annual,"3,300","3,020",280,8.5%,N,Final
County,Mono County,2015,Annual,"8,260","7,760",500,6.1%,N,Final
County,Monterey County,2015,Annual,"218,800","201,100","17,600",8.1%,N,Final
County,Napa County,2015,Annual,"73,900","70,500","3,400",4.6%,N,Final
County,Nevada County,2015,Annual,"48,140","45,540","2,600",5.4%,N,Final
County,Orange County,2015,Annual,"1,588,700","1,518,000","70,700",4.4%,N,Final
County,Placer County,2015,Annual,"176,800","167,900","8,900",5%,N,Final
County,Plumas County,2015,Annual,"7,900","7,090",810,10.2%,N,Final
County,Riverside County,2015,Annual,"1,035,500","966,400","69,100",6.7%,N,Final
County,Sacramento County,2015,Annual,"685,900","644,900","41,000",6%,N,Final
County,San Benito County,2015,Annual,"29,300","27,100","2,200",7.7%,N,Final
County,San Bernardino County,2015,Annual,"921,000","862,000","59,100",6.4%,N,Final
County,San Diego County,2015,Annual,"1,554,800","1,474,400","80,400",5.2%,N,Final
County,San Francisco County,2015,Annual,"545,700","526,000","19,700",3.6%,N,Final
County,San Joaquin County,2015,Annual,"315,200","287,300","27,900",8.9%,N,Final
County,San Luis Obispo County,2015,Annual,"139,600","133,000","6,600",4.7%,N,Final
County,San Mateo County,2015,Annual,"437,700","422,900","14,800",3.4%,N,Final
County,Santa Barbara County,2015,Annual,"217,800","206,300","11,500",5.3%,N,Final
County,Santa Clara County,2015,Annual,"1,009,800","967,800","41,900",4.2%,N,Final
County,Santa Cruz County,2015,Annual,"143,400","132,700","10,700",7.5%,N,Final
County,Shasta County,2015,Annual,"74,300","68,600","5,800",7.7%,N,Final
County,Sierra County,2015,Annual,"1,360","1,240",120,8.8%,N,Final
County,Siskiyou County,2015,Annual,"17,920","16,240","1,670",9.3%,N,Final
County,Solano County,2015,Annual,"205,300","192,800","12,500",6.1%,N,Final
County,Sonoma County,2015,Annual,"258,400","246,900","11,500",4.5%,N,Final
County,Stanislaus County,2015,Annual,"241,600","218,700","22,800",9.5%,N,Final
County,Sutter County,2015,Annual,"44,700","39,900","4,800",10.7%,N,Final
County,Tehama County,2015,Annual,"25,070","23,100","1,980",7.9%,N,Final
County,Trinity County,2015,Annual,"5,140","4,740",400,7.8%,N,Final
County,Tulare County,2015,Annual,"204,000","180,600","23,500",11.5%,N,Final
County,Tuolumne County,2015,Annual,"21,580","20,060","1,520",7%,N,Final
County,Ventura County,2015,Annual,"428,400","404,300","24,100",5.6%,N,Final
County,Yolo County,2015,Annual,"104,700","98,000","6,700",6.4%,N,Final
County,Yuba County,2015,Annual,"27,900","25,300","2,600",9.2%,N,Final
County,Alameda County,2014,Annual,"809,600","762,500","47,100",5.8%,N,Final
County,Alpine County,2014,Annual,510,470,40,8.2%,N,Final
County,Amador County,2014,Annual,"14,380","13,180","1,190",8.3%,N,Final
County,Butte County,2014,Annual,"101,400","92,700","8,800",8.6%,N,Final
County,Calaveras County,2014,Annual,"20,280","18,660","1,620",8%,N,Final
County,Colusa County,2014,Annual,"11,110","9,180","1,930",17.4%,N,Final
County,Contra Costa County,2014,Annual,"540,600","507,300","33,300",6.2%,N,Final
County,Del Norte County,2014,Annual,"9,950","8,950","1,000",10.1%,N,Final
County,El Dorado County,2014,Annual,"88,100","81,900","6,100",7%,N,Final
County,Fresno County,2014,Annual,"439,100","388,300","50,800",11.6%,N,Final
County,Glenn County,2014,Annual,"12,830","11,460","1,370",10.6%,N,Final
County,Humboldt County,2014,Annual,"62,500","58,300","4,200",6.7%,N,Final
County,Imperial County,2014,Annual,"78,400","59,600","18,800",24%,N,Final
County,Inyo County,2014,Annual,"9,230","8,600",630,6.8%,N,Final
County,Kern County,2014,Annual,"393,300","352,400","40,900",10.4%,N,Final
County,Kings County,2014,Annual,"57,600","50,700","6,900",11.9%,N,Final
County,Lake County,2014,Annual,"29,340","26,720","2,620",8.9%,N,Final
County,Lassen County,2014,Annual,"10,840","9,850",990,9.1%,N,Final
County,Los Angeles County,2014,Annual,"5,006,800","4,593,900","412,900",8.2%,N,Final
County,Madera County,2014,Annual,"61,900","55,000","6,900",11.2%,N,Final
County,Marin County,2014,Annual,"139,100","133,100","5,900",4.3%,N,Final
County,Mariposa County,2014,Annual,"8,110","7,400",710,8.8%,N,Final
County,Mendocino County,2014,Annual,"40,460","37,630","2,830",7%,N,Final
County,Merced County,2014,Annual,"114,500","99,800","14,700",12.8%,N,Final
County,Modoc County,2014,Annual,"3,370","3,030",350,10.3%,N,Final
County,Mono County,2014,Annual,"8,260","7,680",580,7%,N,Final
County,Monterey County,2014,Annual,"218,100","198,400","19,700",9%,N,Final
County,Napa County,2014,Annual,"73,600","69,400","4,200",5.7%,N,Final
County,Nevada County,2014,Annual,"47,940","44,800","3,140",6.5%,N,Final
County,Orange County,2014,Annual,"1,572,000","1,485,700","86,200",5.5%,N,Final
County,Placer County,2014,Annual,"175,800","164,800","11,000",6.3%,N,Final
County,Plumas County,2014,Annual,"8,120","7,180",940,11.5%,N,Final
County,Riverside County,2014,Annual,"1,013,000","930,000","83,000",8.2%,N,Final
County,Sacramento County,2014,Annual,"680,400","630,700","49,700",7.3%,N,Final
County,San Benito County,2014,Annual,"29,200","26,500","2,700",9.3%,N,Final
County,San Bernardino County,2014,Annual,"907,100","834,500","72,600",8%,N,Final
County,San Diego County,2014,Annual,"1,543,700","1,444,500","99,300",6.4%,N,Final
County,San Francisco County,2014,Annual,"529,600","506,500","23,100",4.4%,N,Final
County,San Joaquin County,2014,Annual,"312,600","279,700","32,900",10.5%,N,Final
County,San Luis Obispo County,2014,Annual,"140,500","132,700","7,800",5.6%,N,Final
County,San Mateo County,2014,Annual,"427,700","409,700","18,000",4.2%,N,Final
County,Santa Barbara County,2014,Annual,"218,200","204,900","13,300",6.1%,N,Final
County,Santa Clara County,2014,Annual,"991,800","940,700","51,100",5.2%,N,Final
County,Santa Cruz County,2014,Annual,"142,600","130,100","12,500",8.8%,N,Final
County,Shasta County,2014,Annual,"75,000","67,800","7,200",9.6%,N,Final
County,Sierra County,2014,Annual,"1,420","1,270",140,10.1%,N,Final
County,Siskiyou County,2014,Annual,"18,040","16,040","2,000",11.1%,N,Final
County,Solano County,2014,Annual,"203,200","187,900","15,300",7.5%,N,Final
County,Sonoma County,2014,Annual,"256,600","242,200","14,400",5.6%,N,Final
County,Stanislaus County,2014,Annual,"241,000","214,100","26,900",11.2%,N,Final
County,Sutter County,2014,Annual,"44,400","38,800","5,600",12.6%,N,Final
County,Tehama County,2014,Annual,"25,130","22,720","2,420",9.6%,N,Final
County,Trinity County,2014,Annual,"5,180","4,690",490,9.4%,N,Final
County,Tulare County,2014,Annual,"198,500","172,500","26,100",13.1%,N,Final
County,Tuolumne County,2014,Annual,"21,620","19,750","1,870",8.7%,N,Final
County,Ventura County,2014,Annual,"430,900","402,300","28,600",6.6%,N,Final
County,Yolo County,2014,Annual,"102,400","94,700","7,700",7.5%,N,Final
County,Yuba County,2014,Annual,"27,900","24,800","3,100",11.2%,N,Final
County,Alameda County,2013,Annual,"802,800","744,800","58,000",7.2%,N,Final
County,Alpine County,2013,Annual,530,480,50,9.7%,N,Final
County,Amador County,2013,Annual,"14,450","12,960","1,490",10.3%,N,Final
County,Butte County,2013,Annual,"101,700","91,300","10,500",10.3%,N,Final
County,Calaveras County,2013,Annual,"20,250","18,240","2,010",9.9%,N,Final
County,Colusa County,2013,Annual,"11,290","9,160","2,130",18.9%,N,Final
County,Contra Costa County,2013,Annual,"538,000","497,700","40,300",7.5%,N,Final
County,Del Norte County,2013,Annual,"10,330","9,110","1,220",11.8%,N,Final
County,El Dorado County,2013,Annual,"88,600","81,100","7,500",8.5%,N,Final
County,Fresno County,2013,Annual,"437,900","379,900","58,000",13.2%,N,Final
County,Glenn County,2013,Annual,"12,990","11,420","1,570",12.1%,N,Final
County,Humboldt County,2013,Annual,"63,100","58,000","5,100",8.1%,N,Final
County,Imperial County,2013,Annual,"78,300","58,700","19,600",25%,N,Final
County,Inyo County,2013,Annual,"9,390","8,660",740,7.8%,N,Final
County,Kern County,2013,Annual,"393,400","347,200","46,200",11.7%,N,Final
County,Kings County,2013,Annual,"58,200","50,400","7,800",13.4%,N,Final
County,Lake County,2013,Annual,"29,260","26,070","3,190",10.9%,N,Final
County,Lassen County,2013,Annual,"11,000","9,840","1,170",10.6%,N,Final
County,Los Angeles County,2013,Annual,"4,967,000","4,482,100","485,000",9.8%,N,Final
County,Madera County,2013,Annual,"62,300","54,400","7,800",12.6%,N,Final
County,Marin County,2013,Annual,"138,400","131,200","7,100",5.2%,N,Final
County,Mariposa County,2013,Annual,"8,230","7,360",870,10.5%,N,Final
County,Mendocino County,2013,Annual,"40,840","37,430","3,410",8.3%,N,Final
County,Merced County,2013,Annual,"114,600","98,000","16,600",14.5%,N,Final
County,Modoc County,2013,Annual,"3,500","3,070",430,12.3%,N,Final
County,Mono County,2013,Annual,"8,370","7,660",710,8.5%,N,Final
County,Monterey County,2013,Annual,"216,400","194,100","22,300",10.3%,N,Final
County,Napa County,2013,Annual,"72,800","67,800","5,000",6.9%,N,Final
County,Nevada County,2013,Annual,"48,170","44,270","3,900",8.1%,N,Final
County,Orange County,2013,Annual,"1,565,300","1,462,400","102,900",6.6%,N,Final
County,Placer County,2013,Annual,"175,800","162,300","13,600",7.7%,N,Final
County,Plumas County,2013,Annual,"8,260","7,110","1,140",13.8%,N,Final
County,Riverside County,2013,Annual,"996,300","897,800","98,600",9.9%,N,Final
County,Sacramento County,2013,Annual,"680,200","619,900","60,300",8.9%,N,Final
County,San Benito County,2013,Annual,"28,900","25,700","3,200",11.1%,N,Final
County,San Bernardino County,2013,Annual,"896,600","809,100","87,500",9.8%,N,Final
County,San Diego County,2013,Annual,"1,543,200","1,422,500","120,700",7.8%,N,Final
County,San Francisco County,2013,Annual,"516,300","488,200","28,100",5.5%,N,Final
County,San Joaquin County,2013,Annual,"313,100","274,600","38,500",12.3%,N,Final
County,San Luis Obispo County,2013,Annual,"138,300","128,800","9,400",6.8%,N,Final
County,San Mateo County,2013,Annual,"418,100","396,100","22,000",5.3%,N,Final
County,Santa Barbara County,2013,Annual,"217,300","201,700","15,600",7.2%,N,Final
County,Santa Clara County,2013,Annual,"971,800","909,100","62,700",6.5%,N,Final
County,Santa Cruz County,2013,Annual,"142,100","127,500","14,600",10.3%,N,Final
County,Shasta County,2013,Annual,"75,300","66,400","8,900",11.8%,N,Final
County,Sierra County,2013,Annual,"1,450","1,270",190,12.7%,N,Final
County,Siskiyou County,2013,Annual,"18,290","15,890","2,400",13.1%,N,Final
County,Solano County,2013,Annual,"203,000","184,600","18,400",9.1%,N,Final
County,Sonoma County,2013,Annual,"250,000","232,200","17,700",7.1%,N,Final
County,Stanislaus County,2013,Annual,"241,000","209,800","31,200",12.9%,N,Final
County,Sutter County,2013,Annual,"44,800","38,200","6,500",14.6%,N,Final
County,Tehama County,2013,Annual,"25,080","22,170","2,910",11.6%,N,Final
County,Trinity County,2013,Annual,"5,190","4,570",620,11.9%,N,Final
County,Tulare County,2013,Annual,"201,000","172,200","28,800",14.3%,N,Final
County,Tuolumne County,2013,Annual,"21,750","19,410","2,340",10.8%,N,Final
County,Ventura County,2013,Annual,"434,000","399,800","34,200",7.9%,N,Final
County,Yolo County,2013,Annual,"101,800","92,700","9,200",9%,N,Final
County,Yuba County,2013,Annual,"28,200","24,500","3,700",13.1%,N,Final
County,Alameda County,2012,Annual,"798,400","729,000","69,400",8.7%,N,Final
County,Alpine County,2012,Annual,540,480,60,11.2%,N,Final
County,Amador County,2012,Annual,"14,670","12,870","1,800",12.3%,N,Final
County,Butte County,2012,Annual,"101,000","88,700","12,300",12.2%,N,Final
County,Calaveras County,2012,Annual,"20,200","17,710","2,500",12.4%,N,Final
County,Colusa County,2012,Annual,"11,270","8,940","2,340",20.7%,N,Final
County,Contra Costa County,2012,Annual,"535,800","487,900","47,900",8.9%,N,Final
County,Del Norte County,2012,Annual,"10,500","9,080","1,420",13.5%,N,Final
County,El Dorado County,2012,Annual,"89,100","80,000","9,100",10.2%,N,Final
County,Fresno County,2012,Annual,"440,000","373,500","66,600",15.1%,N,Final
County,Glenn County,2012,Annual,"13,150","11,280","1,870",14.2%,N,Final
County,Humboldt County,2012,Annual,"64,300","58,100","6,200",9.6%,N,Final
County,Imperial County,2012,Annual,"79,300","57,600","21,700",27.4%,N,Final
County,Inyo County,2012,Annual,"9,560","8,690",870,9.1%,N,Final
County,Kern County,2012,Annual,"391,900","340,400","51,500",13.1%,N,Final
County,Kings County,2012,Annual,"58,800","50,000","8,800",14.9%,N,Final
County,Lake County,2012,Annual,"29,510","25,740","3,770",12.8%,N,Final
County,Lassen County,2012,Annual,"11,470","10,040","1,430",12.5%,N,Final
County,Los Angeles County,2012,Annual,"4,915,300","4,378,400","536,900",10.9%,N,Final
County,Madera County,2012,Annual,"62,500","53,500","9,000",14.4%,N,Final
County,Marin County,2012,Annual,"136,900","128,300","8,600",6.3%,N,Final
County,Mariposa County,2012,Annual,"8,380","7,350","1,020",12.2%,N,Final
County,Mendocino County,2012,Annual,"40,950","36,840","4,110",10%,N,Final
County,Merced County,2012,Annual,"115,000","96,200","18,800",16.3%,N,Final
County,Modoc County,2012,Annual,"3,610","3,090",520,14.4%,N,Final
County,Mono County,2012,Annual,"8,400","7,530",870,10.3%,N,Final
County,Monterey County,2012,Annual,"217,800","192,600","25,200",11.6%,N,Final
County,Napa County,2012,Annual,"71,800","65,800","6,100",8.4%,N,Final
County,Nevada County,2012,Annual,"48,360","43,650","4,710",9.7%,N,Final
County,Orange County,2012,Annual,"1,562,100","1,439,300","122,900",7.9%,N,Final
County,Placer County,2012,Annual,"174,900","158,500","16,400",9.4%,N,Final
County,Plumas County,2012,Annual,"8,490","7,120","1,370",16.1%,N,Final
County,Riverside County,2012,Annual,"987,100","872,300","114,800",11.6%,N,Final
County,Sacramento County,2012,Annual,"681,300","609,700","71,600",10.5%,N,Final
County,San Benito County,2012,Annual,"28,700","24,900","3,700",13%,N,Final
County,San Bernardino County,2012,Annual,"892,200","790,400","101,800",11.4%,N,Final
County,San Diego County,2012,Annual,"1,540,400","1,399,900","140,600",9.1%,N,Final
County,San Francisco County,2012,Annual,"509,400","474,900","34,500",6.8%,N,Final
County,San Joaquin County,2012,Annual,"311,800","267,100","44,800",14.4%,N,Final
County,San Luis Obispo County,2012,Annual,"137,400","126,000","11,300",8.2%,N,Final
County,San Mateo County,2012,Annual,"412,100","385,700","26,400",6.4%,N,Final
County,Santa Barbara County,2012,Annual,"216,000","197,900","18,100",8.4%,N,Final
County,Santa Clara County,2012,Annual,"958,300","883,000","75,300",7.9%,N,Final
County,Santa Cruz County,2012,Annual,"142,100","125,300","16,800",11.8%,N,Final
County,Shasta County,2012,Annual,"76,000","65,200","10,800",14.2%,N,Final
County,Sierra County,2012,Annual,"1,470","1,260",210,14.4%,N,Final
County,Siskiyou County,2012,Annual,"18,880","15,930","2,950",15.6%,N,Final
County,Solano County,2012,Annual,"202,700","181,000","21,700",10.7%,N,Final
County,Sonoma County,2012,Annual,"246,300","224,500","21,800",8.9%,N,Final
County,Stanislaus County,2012,Annual,"242,000","205,900","36,000",14.9%,N,Final
County,Sutter County,2012,Annual,"45,600","37,900","7,700",16.8%,N,Final
County,Tehama County,2012,Annual,"25,250","21,780","3,470",13.7%,N,Final
County,Trinity County,2012,Annual,"5,330","4,550",780,14.6%,N,Final
County,Tulare County,2012,Annual,"201,300","168,800","32,500",16.2%,N,Final
County,Tuolumne County,2012,Annual,"22,320","19,420","2,900",13%,N,Final
County,Ventura County,2012,Annual,"434,700","395,200","39,500",9.1%,N,Final
County,Yolo County,2012,Annual,"102,600","91,700","10,900",10.6%,N,Final
County,Yuba County,2012,Annual,"28,800","24,400","4,400",15.4%,N,Final
County,Alameda County,2011,Annual,"786,800","707,400","79,400",10.1%,N,Final
County,Alpine County,2011,Annual,590,520,80,12.8%,N,Final
County,Amador County,2011,Annual,"15,100","13,040","2,060",13.6%,N,Final
County,Butte County,2011,Annual,"100,600","86,900","13,800",13.7%,N,Final
County,Calaveras County,2011,Annual,"20,670","17,770","2,900",14%,N,Final
County,Colusa County,2011,Annual,"11,380","8,960","2,420",21.2%,N,Final
County,Contra Costa County,2011,Annual,"529,600","475,000","54,500",10.3%,N,Final
County,Del Norte County,2011,Annual,"10,900","9,450","1,450",13.3%,N,Final
County,El Dorado County,2011,Annual,"89,700","79,200","10,500",11.7%,N,Final
County,Fresno County,2011,Annual,"443,500","370,200","73,300",16.5%,N,Final
County,Glenn County,2011,Annual,"13,170","11,120","2,040",15.5%,N,Final
County,Humboldt County,2011,Annual,"65,100","58,200","6,900",10.6%,N,Final
County,Imperial County,2011,Annual,"79,500","56,500","22,900",28.9%,N,Final
County,Inyo County,2011,Annual,"9,680","8,740",940,9.7%,N,Final
County,Kern County,2011,Annual,"382,400","325,700","56,700",14.8%,N,Final
County,Kings County,2011,Annual,"59,100","49,700","9,400",15.9%,N,Final
County,Lake County,2011,Annual,"29,610","25,310","4,300",14.5%,N,Final
County,Lassen County,2011,Annual,"11,790","10,190","1,600",13.5%,N,Final
County,Los Angeles County,2011,Annual,"4,928,500","4,327,900","600,500",12.2%,N,Final
County,Madera County,2011,Annual,"62,000","52,000","10,000",16.2%,N,Final
County,Marin County,2011,Annual,"134,600","124,800","9,800",7.3%,N,Final
County,Mariposa County,2011,Annual,"8,660","7,520","1,140",13.2%,N,Final
County,Mendocino County,2011,Annual,"40,950","36,280","4,670",11.4%,N,Final
County,Merced County,2011,Annual,"114,700","94,500","20,200",17.6%,N,Final
County,Modoc County,2011,Annual,"3,620","3,040",580,16%,N,Final
County,Mono County,2011,Annual,"8,830","7,940",890,10.1%,N,Final
County,Monterey County,2011,Annual,"216,600","189,100","27,400",12.7%,N,Final
County,Napa County,2011,Annual,"70,800","63,800","6,900",9.8%,N,Final
County,Nevada County,2011,Annual,"49,020","43,590","5,430",11.1%,N,Final
County,Orange County,2011,Annual,"1,546,400","1,406,400","140,000",9.1%,N,Final
County,Placer County,2011,Annual,"173,700","154,900","18,800",10.8%,N,Final
County,Plumas County,2011,Annual,"8,890","7,330","1,560",17.6%,N,Final
County,Riverside County,2011,Annual,"978,500","849,600","128,900",13.2%,N,Final
County,Sacramento County,2011,Annual,"680,000","597,700","82,300",12.1%,N,Final
County,San Benito County,2011,Annual,"28,300","24,200","4,100",14.5%,N,Final
County,San Bernardino County,2011,Annual,"888,500","774,200","114,300",12.9%,N,Final
County,San Diego County,2011,Annual,"1,524,600","1,367,300","157,300",10.3%,N,Final
County,San Francisco County,2011,Annual,"494,800","454,900","39,900",8.1%,N,Final
County,San Joaquin County,2011,Annual,"311,400","261,000","50,400",16.2%,N,Final
County,San Luis Obispo County,2011,Annual,"134,400","121,500","12,900",9.6%,N,Final
County,San Mateo County,2011,Annual,"399,900","369,800","30,000",7.5%,N,Final
County,Santa Barbara County,2011,Annual,"213,000","193,000","20,000",9.4%,N,Final
County,Santa Clara County,2011,Annual,"939,900","852,400","87,400",9.3%,N,Final
County,Santa Cruz County,2011,Annual,"141,300","122,900","18,500",13.1%,N,Final
County,Shasta County,2011,Annual,"77,000","64,800","12,300",15.9%,N,Final
County,Sierra County,2011,Annual,"1,600","1,360",240,14.9%,N,Final
